 0		5121		5149
 1		5263		5435
 2		4930		5358
 3		5266		5462
 4		4521		4755
 7		4434		4457
 9		4590		4538
11		4290		4378
14		4005		4189
16		4123		4195
18		3659		3743
21		3785		3855
24		3538		3569
29		3159		3045
32		2946		3091
35		2956		3064
38		2643		2729
46		2500		2477



















